thoigian,EX_US_VN,CPI_VN,CPI_US,VNGB,USFFR,VNI,SPX,FDI_VN,FDI_US,IMEX_VN,DXY,VNFR,,,,,,,,,,,,,
04/01/2015,"21,370.00",-0.20,0.80,7.16,0.12,569.00,"2,044.80",0.51,34.60,-0.40,92,34.75,,,,,,,,,,,,,
11/01/2015,"21,340.00",-0.20,0.80,6.98,0.12,574.00,"2,019.40",0.51,34.60,-0.40,93,34.75,,,,,,,,,,,,,
18/01/2015,"21,350.00",-0.20,0.80,6.96,0.13,582.00,"2,051.80",0.51,34.60,-0.40,95,34.75,,,,,,,,,,,,,
25/01/2015,"21,317.00",-0.20,0.80,6.65,0.12,576.00,"1,995.00",0.51,34.60,-0.40,95,34.75,,,,,,,,,,,,,
01/02/2015,"21,282.00",0.00,-0.10,6.64,0.06,574.00,"2,055.50",1.20,34.60,-1.00,96,35.5,,,,,,,,,,,,,
08/02/2015,"21,330.00",0.00,-0.10,6.50,0.11,587.00,"2,097.00",1.20,34.60,-1.00,94,35.5,,,,,,,,,,,,,
15/02/2015,"21,330.00",0.00,-0.10,6.50,0.12,587.00,"2,110.30",1.20,34.60,-1.00,94,35.5,,,,,,,,,,,,,
22/02/2015,"21,347.00",0.00,-0.10,6.43,0.12,592.00,"2,104.50",1.20,34.60,-1.00,95,35.5,,,,,,,,,,,,,
01/03/2015,"21,350.00",0.10,0.00,6.36,0.06,593.00,"2,071.30",3.05,34.60,-1.30,98,36.5,,,,,,,,,,,,,
08/03/2015,"21,390.00",0.10,0.00,6.36,0.12,586.00,"2,053.40",3.05,34.60,-1.30,100,36.5,,,,,,,,,,,,,
15/03/2015,"21,495.00",0.10,0.00,6.44,0.11,575.00,"2,108.10",3.05,34.60,-1.30,98,36.5,,,,,,,,,,,,,
22/03/2015,"21,535.00",0.10,0.00,6.48,0.12,551.00,"2,061.00",3.05,34.60,-1.30,97,36.5,,,,,,,,,,,,,
29/03/2015,"21,595.00",0.10,0.00,6.45,0.12,547.00,"2,067.00",3.05,34.60,-1.30,97,36.5,,,,,,,,,,,,,
05/04/2015,"21,605.00",0.10,-0.10,6.55,0.12,554.00,"2,102.10",4.20,42.70,0.20,99,36.75,,,,,,,,,,,,,
12/04/2015,"21,590.00",0.10,-0.10,6.55,0.12,568.00,"2,081.20",4.20,42.70,0.20,98,36.75,,,,,,,,,,,,,
19/04/2015,"21,595.00",0.10,-0.10,6.63,0.13,565.00,"2,117.70",4.20,42.70,0.20,97,36.75,,,,,,,,,,,,,
26/04/2015,"21,590.00",0.10,-0.10,6.49,0.13,562.00,"2,108.30",4.20,42.70,0.20,95,36.75,,,,,,,,,,,,,
03/05/2015,"21,680.00",0.20,-0.20,6.51,0.13,554.00,"2,116.10",4.95,42.70,-1.20,95,36.9,,,,,,,,,,,,,
10/05/2015,"21,765.00",0.20,-0.20,6.54,0.13,537.00,"2,122.70",4.95,42.70,-1.20,93,36.9,,,,,,,,,,,,,
17/05/2015,"21,805.00",0.20,-0.20,6.54,0.13,561.00,"2,126.10",4.95,42.70,-1.20,96,36.9,,,,,,,,,,,,,
24/05/2015,"21,815.00",0.20,-0.20,6.54,0.13,569.00,"2,107.40",4.95,42.70,-1.20,97,36.9,,,,,,,,,,,,,
31/05/2015,"21,812.00",0.20,-0.20,6.54,0.08,578.00,"2,092.80",4.95,42.70,-1.20,96,36.9,,,,,,,,,,,,,
07/06/2015,"21,800.00",0.40,0.00,6.66,0.13,582.00,"2,094.10",6.30,42.70,-0.20,95,37,,,,,,,,,,,,,
14/06/2015,"21,805.00",0.40,0.00,6.85,0.13,584.00,"2,110.00",6.30,42.70,-0.20,94,37,,,,,,,,,,,,,
